SL.,Station,Year,Month,Date,Temperature (maximum),Temperature(minimum),Temperature(Average),Rainfall(mm),Humidity(percentage)
253,Sylhet (10705),1991,1,1/1/1991,24.91,12.22,18.565,10,73.29
254,Sylhet (10705),1991,2,1/2/1991,27.46,16,21.73,55,73.07
255,Sylhet (10705),1991,3,1/3/1991,31.47,19.58,25.525,60,68.77
256,Sylhet (10705),1991,4,1/4/1991,30.44,21.19,25.815,405,76.77
257,Sylhet (10705),1991,5,1/5/1991,26.98,20.74,23.86,1071,88.45
258,Sylhet (10705),1991,6,1/6/1991,29.82,23.48,26.65,1203,89.1
259,Sylhet (10705),1991,7,1/7/1991,32.17,24.57,28.37,351,85.32
260,Sylhet (10705),1991,8,1/8/1991,32.3,24.71,28.505,437,85.23
261,Sylhet (10705),1991,9,1/9/1991,30.16,23.66,26.91,781,90.1
262,Sylhet (10705),1991,10,1/10/1991,30.54,22.49,26.515,172,84.61
263,Sylhet (10705),1991,11,1/11/1991,28.47,16.84,22.655,3,77.97
264,Sylhet (10705),1991,12,1/12/1991,24.69,13.45,19.07,79,77.06
265,Sylhet (10705),1992,1,1/1/1992,24.4,12.43,18.415,0,79
266,Sylhet (10705),1992,2,1/2/1992,24.59,12.58,18.585,54,74.69
267,Sylhet (10705),1992,3,1/3/1992,30.15,18.68,24.415,183,73.81
268,Sylhet (10705),1992,4,1/4/1992,32.36,20.35,26.355,129,75.57
269,Sylhet (10705),1992,5,1/5/1992,30.76,21.01,25.885,544,81.23
270,Sylhet (10705),1992,6,1/6/1992,31.79,23.13,27.46,666,84.27
271,Sylhet (10705),1992,7,1/7/1992,31.04,24.12,27.58,901,87.94
272,Sylhet (10705),1992,8,1/8/1992,32.8,24.28,28.54,374,84.68
273,Sylhet (10705),1992,9,1/9/1992,31.83,22.3,27.065,459,86.03
274,Sylhet (10705),1992,10,1/10/1992,30.83,21.93,26.38,203,82.03
275,Sylhet (10705),1992,11,1/11/1992,29.15,18.24,23.695,3,75.63
276,Sylhet (10705),1992,12,1/12/1992,25.77,13.29,19.53,0,74.61
277,Sylhet (10705),1993,1,1/1/1993,23.49,12.17,17.83,35,77.71
278,Sylhet (10705),1993,2,1/2/1993,26.71,15.9,21.305,146,75.14
279,Sylhet (10705),1993,3,1/3/1993,28.86,17.66,23.26,96,70.1
280,Sylhet (10705),1993,4,1/4/1993,30.7,20.32,25.51,261,75.2
281,Sylhet (10705),1993,5,1/5/1993,29.44,21.87,25.655,577,83.9
282,Sylhet (10705),1993,6,1/6/1993,30.1,23.76,26.93,1066,87.8
283,Sylhet (10705),1993,7,1/7/1993,31.2,25.06,28.13,1172,87.68
284,Sylhet (10705),1993,8,1/8/1993,31.41,25.55,28.48,586,87.06
285,Sylhet (10705),1993,9,1/9/1993,31.62,24.59,28.105,752,85.9
286,Sylhet (10705),1993,10,1/10/1993,30.84,23.02,26.93,153,85.39
287,Sylhet (10705),1993,11,1/11/1993,29.32,18.74,24.03,2,77.23
288,Sylhet (10705),1993,12,1/12/1993,27.46,14.98,21.22,0,71.23
289,Sylhet (10705),1994,1,1/1/1994,26.28,13.74,20.01,23,71.77
290,Sylhet (10705),1994,2,1/2/1994,26.16,13.61,19.885,38,68.79
291,Sylhet (10705),1994,3,1/3/1994,28.76,18.25,23.505,515,74.42
292,Sylhet (10705),1994,4,1/4/1994,31.17,20.83,26,326,74.7
293,Sylhet (10705),1994,5,1/5/1994,32.31,23.42,27.865,329,77.58
294,Sylhet (10705),1994,6,1/6/1994,31.34,24.84,28.09,584,84.57
295,Sylhet (10705),1994,7,1/7/1994,33.29,25.33,29.31,757,81.58
296,Sylhet (10705),1994,8,1/8/1994,32.71,25.85,29.28,573,82.97
297,Sylhet (10705),1994,9,1/9/1994,33.1,25.16,29.13,227,80
298,Sylhet (10705),1994,10,1/10/1994,31.02,22.39,26.705,145,80.45
299,Sylhet (10705),1994,11,1/11/1994,28.92,18.74,23.83,4,74.87
300,Sylhet (10705),1994,12,1/12/1994,26.89,13.82,20.355,0,67.77
301,Sylhet (10705),1995,1,1/1/1995,24.9,12.24,18.57,10,67.87
302,Sylhet (10705),1995,2,1/2/1995,26.43,14.59,20.51,29,69.25
303,Sylhet (10705),1995,3,1/3/1995,31.38,17.75,24.565,80,62.52
304,Sylhet (10705),1995,4,1/4/1995,32.54,21.27,26.905,176,71.03
305,Sylhet (10705),1995,5,1/5/1995,32.77,24.18,28.475,350,79.03
306,Sylhet (10705),1995,6,1/6/1995,31.37,25.1,28.235,909,86.8
307,Sylhet (10705),1995,7,1/7/1995,31.35,25.26,28.305,712,85.61
308,Sylhet (10705),1995,8,1/8/1995,31.59,25.29,28.44,709,85.87
309,Sylhet (10705),1995,9,1/9/1995,31.84,25.33,28.585,423,83.53
310,Sylhet (10705),1995,10,1/10/1995,31.97,23.69,27.83,104,79.45
311,Sylhet (10705),1995,11,1/11/1995,29.37,20.09,24.73,102,78.93
312,Sylhet (10705),1995,12,1/12/1995,25.91,15.05,20.48,0,76.39
313,Sylhet (10705),1996,1,1/1/1996,25.15,12.84,18.995,0,77.52
314,Sylhet (10705),1996,2,1/2/1996,28.48,14.69,21.585,76,68.9
315,Sylhet (10705),1996,3,1/3/1996,30.77,19.87,25.32,254,76.71
316,Sylhet (10705),1996,4,1/4/1996,32,21.98,26.99,252,77.2
317,Sylhet (10705),1996,5,1/5/1996,31.17,22.82,26.995,759,84.29
318,Sylhet (10705),1996,6,1/6/1996,31.49,24.32,27.905,518,86.1
319,Sylhet (10705),1996,7,1/7/1996,30.9,25.07,27.985,745,90.71
320,Sylhet (10705),1996,8,1/8/1996,31.36,25.05,28.205,744,88.71
321,Sylhet (10705),1996,9,1/9/1996,33.03,25.27,29.15,382,84.3
322,Sylhet (10705),1996,10,1/10/1996,31.27,22.6,26.935,281,83.42
323,Sylhet (10705),1996,11,1/11/1996,29.57,18.75,24.16,0,77.67
324,Sylhet (10705),1996,12,1/12/1996,27.76,14.79,21.275,0,74.52
325,Sylhet (10705),1997,1,1/1/1997,29.78,13.1,21.44,1,88.84
326,Sylhet (10705),1997,2,1/2/1997,25.83,13.89,19.86,27,73.04
327,Sylhet (10705),1997,3,1/3/1997,31.35,18.95,25.15,111,69.94
328,Sylhet (10705),1997,4,1/4/1997,30.35,19.5,24.925,170,74.27
329,Sylhet (10705),1997,5,1/5/1997,32.11,22.42,27.265,347,80.13
330,Sylhet (10705),1997,6,1/6/1997,30.99,23.76,27.375,796,88.3
331,Sylhet (10705),1997,7,1/7/1997,31.78,25.44,28.61,681,88.81
332,Sylhet (10705),1997,8,1/8/1997,32.58,25.54,29.06,486,85.52
